port,tcp,udp
818,filtrado,abierto|filtrado
819,None,abierto|filtrado
820,filtrado,abierto|filtrado
821,filtrado,filtrado
822,filtrado,abierto|filtrado
823,filtrado,abierto|filtrado
824,filtrado,abierto|filtrado
825,filtrado,abierto|filtrado
826,None,abierto|filtrado
827,filtrado,abierto|filtrado
828,filtrado,abierto|filtrado
829,filtrado,abierto|filtrado
830,filtrado,abierto|filtrado
831,filtrado,abierto|filtrado
832,filtrado,abierto|filtrado
833,filtrado,abierto|filtrado
834,filtrado,abierto|filtrado
835,filtrado,abierto|filtrado
836,filtrado,abierto|filtrado
837,filtrado,abierto|filtrado
838,filtrado,abierto|filtrado
839,None,abierto|filtrado
840,filtrado,abierto|filtrado
841,filtrado,abierto|filtrado
842,filtrado,abierto|filtrado
843,filtrado,abierto|filtrado
844,filtrado,abierto|filtrado
845,filtrado,abierto|filtrado
846,filtrado,abierto|filtrado
847,filtrado,abierto|filtrado
848,filtrado,abierto|filtrado
849,filtrado,abierto|filtrado
850,filtrado,abierto|filtrado
851,filtrado,abierto|filtrado
852,filtrado,abierto|filtrado
853,filtrado,abierto|filtrado
854,filtrado,abierto|filtrado
855,filtrado,abierto|filtrado
856,filtrado,abierto|filtrado
857,filtrado,abierto|filtrado
858,filtrado,abierto|filtrado
859,None,abierto|filtrado
860,filtrado,abierto|filtrado
861,filtrado,abierto|filtrado
862,filtrado,abierto|filtrado
863,filtrado,abierto|filtrado
864,filtrado,abierto|filtrado
865,filtrado,abierto|filtrado
866,filtrado,abierto|filtrado
867,filtrado,abierto|filtrado
868,filtrado,abierto|filtrado
869,filtrado,abierto|filtrado
870,filtrado,abierto|filtrado
871,filtrado,abierto|filtrado
872,filtrado,abierto|filtrado
873,filtrado,abierto|filtrado
874,filtrado,abierto|filtrado
875,filtrado,abierto|filtrado
876,filtrado,abierto|filtrado
877,filtrado,abierto|filtrado
878,filtrado,abierto|filtrado
879,filtrado,abierto|filtrado
880,None,abierto|filtrado
881,filtrado,abierto|filtrado
882,filtrado,abierto|filtrado
883,filtrado,abierto|filtrado
884,filtrado,abierto|filtrado
